Ticker,Industry,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
MA,Financial,S&P 500,36.74,10.67,10.70%,946.00M,-0.71%,369.93B,26.97,19.53%,-2.03%,834.94M,-1.48%,10.23B,2.11,3.22,78.50%,0.55% / 1.67,0.04%,23.59B,15.68,16.80%,-0.21%,4.63M,6.70%,5.82,67.38,26.50%,451.60,10.37%,6.91,56.79,17.45%,174.20%,276.87 - 405.19,12.78%,2.28,35.67,18.00%,51.50%,-3.21%,1.09,0.58%,1.10,12.20%,-,41.64%,5.76,29900,1.10,14.00%,55.50%,47.49,1.27% 1.45%,Yes,2.84,28.30%,43.40%,0.72,392.62,Yes,2.60,Jul 27 BMO,19.80%,2.77M,392.17,1.90,-0.90%,0.61%,6.59%,"2,001,774",-0.11%
CLSK,Financial,RUT,-,-1.95,9.30%,152.64M,-20.25%,833.40M,-,82.40%,0.00%,148.59M,-20.00%,-106.00M,-,-0.13,30.50%,4.84% / 0.68,23.52%,127.60M,6.53,-232.20%,6.39%,7.19M,53.39%,5.89,0.88,-21.40%,11.25,2.16%,0.07,75.76,-,-24.00%,1.74 - 7.60,154.90%,-,23.54,25.70%,-8.90%,-31.57%,-,-,0.80,211.60%,45.50%,198.85%,0.55,121,0.80,14.20%,-64.00%,42.64,9.93% 8.52%,Yes,0.04,-563.80%,-79.10%,1.17,5.46,Yes,0.02,Aug 09 AMC,-,10.52M,5.20,1.70,-11.31%,-3.76%,44.78%,"12,338,651",-4.76%
ASTR,Industrials,-,-,-1.39,2.50%,270.25M,-21.67%,70.16M,-,49.00%,0.00%,215.58M,-42.26%,-370.60M,-,-,44.00%,9.64% / 11.02,-31.15%,5.50M,12.76,67.90%,-3.82%,20.79M,-59.21%,0.16,1.52,-179.90%,1.00,-81.77%,0.22,1.12,-,-305.60%,0.24 - 1.36,-44.10%,-,-,-,-508.90%,-82.10%,2.23,-,1.00,-,-,-0.12%,0.03,359,1.10,-,-,22.78,10.54% 7.56%,Yes,0.00,48.90%,-,1.35,0.26,Yes,0.00,Aug 14 AMC,-,1.89M,0.24,3.00,-32.57%,-35.35%,-46.41%,"2,541,385",-5.83%
NKE,Consumer Cyclical,"DJIA, S&P 500",32.48,3.23,0.20%,1.54B,-3.03%,160.72B,23.83,17.85%,-11.20%,1.21B,-2.53%,5.07B,2.15,0.74,82.90%,1.30% / 1.90,-11.83%,51.22B,3.14,-14.00%,-0.24%,15.73M,-15.73%,9.12,11.49,13.00%,126.58,-10.45%,6.96,15.06,15.10%,34.00%,82.22 - 131.31,-10.43%,1.36,32.99,6.20%,20.90%,-20.18%,1.11,1.30%,1.80,7.10%,43.50%,27.48%,2.13,83700,2.70,4.80%,11.50%,36.04,1.73% 1.78%,Yes,0.64,-26.50%,9.90%,0.71,105.05,Yes,0.64,Jun 29 AMC,39.50%,8.26M,104.81,2.30,-3.37%,-3.68%,-8.87%,"5,834,872",-0.23%
TDOC,Healthcare,-,-,-24.77,0.10%,164.17M,-3.95%,3.82B,-,18.20%,-49.21%,163.83M,-2.16%,-4018.00M,-,-0.37,83.80%,16.98% / 5.20,-4.23%,2.53B,1.51,98.40%,-3.08%,27.82M,-24.03%,13.98,1.65,-76.30%,29.78,-35.72%,5.80,3.98,-,-124.10%,21.60 - 35.76,-2.28%,-,60.02,-,-353.40%,-35.37%,1.12,-,3.40,59.50%,70.20%,6.99%,1.20,5600,3.40,10.10%,-,40.10,3.08% 5.26%,Yes,0.67,97.90%,-,0.82,23.14,Yes,0.67,Jul 25 AMC,-,5.35M,23.11,2.70,-9.14%,-7.23%,-11.65%,"4,387,166",-0.13%
SAVA,Healthcare,RUT,-,-2.19,2.70%,41.79M,-4.69%,729.83M,-,64.00%,8.34%,39.42M,-20.07%,-90.00M,-,-0.78,25.50%,28.98% / 13.87,-30.65%,-,-,-130.80%,5.19%,11.43M,-35.18%,4.29,3.98,-42.00%,99.50,-33.59%,3.94,4.33,-,-44.50%,16.99 - 51.59,-42.18%,-,-,-0.80%,-,-66.89%,0.00,-,9.80,-,-,0.53%,0.84,26,9.80,-,-,28.00,4.64% 4.07%,Yes,0.00,-30.70%,-,0.63,17.39,Yes,0.00,Aug 03 BMO,-,824.05K,17.08,2.00,-12.99%,-22.26%,-36.97%,"520,668",-1.78%
GS,Financial,"DJIA, S&P 500",13.86,23.44,0.30%,342.30M,-4.64%,107.97B,8.92,38.05%,-3.04%,326.70M,-7.39%,8.30B,1.33,7.03,71.40%,1.00% / 1.38,-1.41%,90.84B,1.19,-49.40%,-0.22%,3.27M,-12.23%,309.06,1.05,0.50%,383.67,-8.14%,815.32,0.40,10.45%,7.80%,287.75 - 389.58,-5.37%,11.00,5.11,8.70%,1.20%,-16.59%,1.39,3.39%,-,9.60%,44.20%,12.92%,6.77,44600,-,73.90%,12.10%,33.69,1.56% 1.74%,Yes,9.30,-60.10%,9.10%,0.73,327.52,Yes,2.24,Jul 19 BMO,42.00%,2.37M,324.93,2.30,-6.58%,-3.22%,-5.59%,"1,729,729",-0.79%
SBUX,Consumer Cyclical,"NDX, S&P 500",29.61,3.28,0.10%,1.15B,-3.72%,110.61B,23.77,18.38%,-0.12%,1.12B,-3.62%,3.78B,1.82,0.97,72.10%,1.40% / 2.37,-9.21%,35.02B,3.16,-20.00%,2.12%,15.74M,-9.59%,-7.29,-,13.30%,114.07,10.05%,3.18,30.56,16.30%,-44.20%,81.67 - 115.48,-1.99%,2.12,37.08,7.50%,57.90%,-15.80%,0.93,2.18%,0.60,7.60%,26.50%,19.05%,1.77,402000,0.80,12.50%,15.30%,37.26,1.53% 1.69%,Yes,-,25.10%,10.80%,0.62,96.57,Yes,-,Aug 01 AMC,47.00%,6.63M,97.23,2.50,-3.82%,-3.00%,-4.72%,"4,124,786",0.68%
SNAP,Communication Services,-,-,-0.85,8.50%,1.60B,-8.47%,14.67B,90.00,1175.00%,-2.14%,1.24B,-29.00%,-1353.90M,-,-0.04,55.00%,5.37% / 2.47,-5.26%,4.48B,3.27,-184.00%,-12.24%,66.77M,-14.45%,1.56,5.88,-17.00%,9.94,-24.07%,2.31,3.98,26.85%,-51.30%,7.33 - 13.89,2.57%,-,180.89,21.40%,-22.50%,-33.91%,1.30,-,5.20,41.00%,58.40%,25.24%,0.44,5288,5.20,-3.90%,-33.30%,27.87,3.46% 3.77%,Yes,1.50,9.00%,-30.20%,0.55,9.04,Yes,1.50,Jul 25 AMC,-,27.04M,9.18,3.00,-14.33%,-18.34%,-11.38%,"14,752,589",1.55%
PEP,Consumer Defensive,"NDX, S&P 500",30.90,5.77,0.10%,1.38B,-3.18%,245.65B,21.99,8.04%,-6.24%,1.37B,-5.87%,7.99B,3.62,2.15,74.00%,0.81% / 2.22,-6.98%,90.14B,2.73,15.40%,-0.02%,11.17M,1.52%,12.83,13.89,8.40%,200.29,-1.13%,4.68,38.06,8.54%,44.60%,160.98 - 196.88,-1.37%,5.06,42.89,4.90%,16.90%,-9.50%,0.55,2.84%,0.60,6.30%,53.80%,10.68%,2.49,315000,0.80,10.40%,11.40%,31.53,1.27% 1.29%,Yes,2.47,93.00%,8.80%,1.20,178.45,Yes,2.04,Jul 13 BMO,82.30%,5.03M,178.18,2.40,-4.33%,-3.90%,-1.99%,"6,019,994",-0.15%
M,Consumer Cyclical,-,4.13,3.66,0.30%,273.10M,-2.95%,4.10B,5.05,3.71%,-17.07%,270.87M,-7.41%,1.05B,-,0.14,83.60%,7.62% / 1.80,-4.73%,24.94B,0.16,-8.10%,-4.84%,20.64M,-32.17%,15.27,0.99,6.10%,17.83,-25.99%,2.22,6.80,-7.52%,27.40%,12.80 - 25.12,-26.78%,0.66,28.86,5.50%,18.60%,-39.81%,1.88,4.38%,0.30,-0.30%,39.60%,18.12%,0.48,94570,1.20,-7.00%,5.90%,37.24,2.93% 2.82%,Yes,0.72,-42.30%,4.20%,1.03,15.04,Yes,0.72,Aug 22 BMO,17.30%,11.44M,15.12,2.70,-5.08%,-4.98%,-19.37%,"11,761,691",0.53%
ABBV,Healthcare,S&P 500,30.89,4.86,0.13%,1.77B,-1.34%,264.79B,13.55,0.02%,-13.94%,1.76B,5.59%,8.63B,-,2.87,70.90%,0.65% / 1.97,4.67%,56.02B,4.73,2.70%,0.10%,11.44M,0.41%,7.28,20.62,6.30%,169.14,6.15%,4.97,30.21,-4.13%,58.20%,130.96 - 168.11,-7.10%,5.92,10.68,13.30%,20.50%,-10.69%,0.54,3.94%,0.80,15.50%,70.50%,14.65%,2.48,50000,0.90,-4.90%,31.00%,60.39,1.27% 1.68%,Yes,4.74,121.10%,15.40%,0.70,150.02,Yes,4.34,Jul 27 BMO,118.50%,5.81M,150.14,2.40,0.94%,6.31%,-0.21%,"4,050,471",0.08%
FCX,Basic Materials,S&P 500,26.69,1.46,0.57%,1.43B,-6.23%,56.80B,18.53,23.00%,-0.09%,1.43B,-7.28%,2.10B,-,0.38,79.30%,1.10% / 1.31,9.06%,21.89B,2.60,-17.80%,-0.47%,15.67M,-8.83%,11.30,3.44,4.10%,45.77,29.42%,4.57,8.50,-,13.40%,25.83 - 46.56,2.76%,0.30,103.09,20.60%,18.30%,-16.58%,2.06,0.77%,1.70,6.80%,28.80%,50.38%,1.26,25600,2.90,5.90%,25.30%,37.39,2.43% 2.63%,Yes,0.59,-59.10%,9.60%,1.06,39.62,Yes,0.58,Jul 20 BMO,41.00%,11.92M,38.84,2.40,-7.98%,-4.40%,-1.48%,"12,629,808",-1.97%
LRCX,Technology,"NDX, S&P 500",19.70,33.15,0.20%,134.05M,0.15%,85.94B,18.27,29.58%,-7.95%,132.11M,6.08%,4.51B,2.36,6.13,86.40%,2.37% / 2.42,9.05%,17.43B,4.93,1.40%,1.94%,3.13M,30.24%,61.25,10.66,23.80%,671.22,31.23%,40.83,15.99,8.33%,55.80%,299.59 - 726.53,55.35%,6.90,18.37,15.10%,34.60%,-10.13%,1.51,1.06%,2.00,9.50%,45.10%,117.94%,19.06,17200,3.20,-30.80%,29.70%,46.86,2.33% 2.54%,Yes,0.61,-31.70%,25.90%,0.72,648.56,Yes,0.61,Jul 26 AMC,20.10%,1.29M,652.94,2.30,-3.46%,0.90%,22.92%,"933,569",0.68%
